Body_ID,Date,Time,0_NOSE,1_NECK,2_RIGHT_SHOULDER,3_RIGHT_ELBOW,4_RIGHT_WRIST,5_LEFT_SHOULDER,6_LEFT_ELBOW,7_LEFT_WRIST,8_RIGHT_HIP,9_RIGHT_KNEE,10_RIGHT_ANKLE,11_LEFT_HIP,12_LEFT_KNEE,13_LEFT_ANKLE,14_RIGHT_EYE,15_LEFT_EYE,16_RIGHT_EAR,17_LEFT_EAR
7,2023-04-04,16:19:45.553195,"-1.7286881,0.3292029,-5.365249","-1.6797612,0.17684251,-5.4611163","-1.8118175,0.16974825,-5.3970895","-1.8512137,-0.024608254,-5.429046","-1.8890907,-0.21149158,-5.459766","-1.547705,0.18393683,-5.525144","-1.5085984,-0.011685073,-5.5486064","-1.4715701,-0.19975281,-5.5723376","-1.7429136,-0.24634933,-5.460595","-1.787541,-0.5763584,-5.628374","-1.8428911,-0.84942526,-5.8079157","-1.6038668,-0.2395333,-5.5283823","-1.6562898,-0.57796735,-5.6758995","-1.7232108,-0.85389394,-5.8469276","-1.7595192,0.3519528,-5.4013643","-1.706065,0.35770375,-5.4033065","-1.8104227,0.33019364,-5.500826","-1.6589692,0.34648818,-5.5063276"
8,2023-04-04,16:19:45.647879,"-2.2331913,0.08954182,-3.1793182","-2.1200109,-0.008763313,-3.2644486","-2.2290416,0.00031203032,-3.3140035","-2.2466717,-0.18527704,-3.2785363","-2.2666848,-0.36185354,-3.2371197","-2.0109806,-0.017838657,-3.2148938","-2.010725,-0.20073432,-3.2655015","-2.1151905,-0.19604576,-3.1159682","-2.1977274,-0.44201958,-3.375746","-2.3050478,-0.7863022,-3.4169781","-2.3373058,-1.0724727,-3.5624528","-2.0453796,-0.45470428,-3.3073764","-2.0776427,-0.78317237,-3.4584255","-2.0634024,-1.028457,-3.6675422","-2.236677,0.13933799,-3.199327","-2.2002656,0.12892002,-3.163273","-2.20417,0.17407686,-3.2916336","-2.1010056,0.144559,-3.1894805"
7,2023-04-04,16:19:45.649872,"-1.7208604,0.2989633,-5.0753794","-1.6895633,0.15729702,-5.1797004","-1.825399,0.15173066,-5.128878","-1.9001789,-0.02459246,-5.181808","-1.972835,-0.19322091,-5.234629","-1.5537274,0.16286343,-5.2305226","-1.4938787,-0.02086705,-5.276833","-1.4373572,-0.19717515,-5.324007","-1.7633964,-0.26222348,-5.2022247","-1.7814643,-0.5935406,-5.293548","-1.8143642,-0.8713544,-5.417311","-1.61941,-0.25700885,-5.2583385","-1.6763253,-0.58678675,-5.3386154","-1.748418,-0.85520166,-5.4664288","-1.7506404,0.32664716,-5.1084094","-1.6977869,0.32953572,-5.111118","-1.8038658,0.31622994,-5.2074556","-1.654115,0.32441384,-5.2151275"
8,2023-04-04,16:19:45.751532,"-2.2745693,0.010287404,-2.7811341","-2.182609,-0.08669543,-2.8983612","-2.307914,-0.084338665,-2.9198425","-2.3301463,-0.27413797,-2.9148247","-2.327038,-0.35855323,-2.7515745","-2.0573046,-0.08905235,-2.87688","-1.9588794,-0.24303931,-2.9329486","-2.0469594,-0.28765756,-2.7779083","-2.2578387,-0.52112687,-3.002781","-2.3659427,-0.84883356,-3.0664592","-2.4346786,-1.1072824,-3.2269895","-2.0921268,-0.5242709,-2.9785895","-2.1829116,-0.8631499,-2.97136","-2.245592,-1.1574764,-3.0534172","-2.2860892,0.059060127,-2.7990143","-2.2414856,0.0515095,-2.7750182","-2.282408,0.092672765,-2.8954544","-2.1560307,0.07127929,-2.8274653"
7,2023-04-04,16:19:45.752529,"-1.7535876,0.2404396,-4.6050315","-1.7447389,0.0992499,-4.693515","-1.9103886,0.09726226,-4.689784","-1.9916503,-0.07452196,-4.7959366","-2.0698104,-0.23918116,-4.8988214","-1.5790895,0.101237714,-4.697246","-1.5184175,-0.08409679,-4.7939506","-1.4601516,-0.26126623,-4.888939","-1.8310893,-0.38843304,-4.7813807","-1.8361007,-0.7836986,-4.8479753","-1.8427312,-1.1199083,-4.965822","-1.6508455,-0.38688064,-4.7895455","-1.7220124,-0.77282923,-4.8712387","-1.7865132,-1.0887406,-5.0229244","-1.7775596,0.27304238,-4.630437","-1.7248656,0.2706359,-4.628403","-1.8228742,0.27158672,-4.714081","-1.6735737,0.26476872,-4.70832"
8,2023-04-04,16:19:45.842229,"-2.2872252,0.008404493,-2.5835295","-2.2104418,-0.092166066,-2.717516","-2.3404698,-0.09563205,-2.712504","-2.3704295,-0.28518423,-2.7443502","-2.308138,-0.33572447,-2.5753758","-2.080414,-0.08869997,-2.722528","-1.9549516,-0.21246368,-2.8048902","-1.9989872,-0.30491933,-2.6483662","-2.2861464,-0.52936697,-2.8088064","-2.3811538,-0.84868056,-2.866768","-2.4624865,-1.0919831,-3.0234108","-2.1190114,-0.5249802,-2.8198805","-2.1945004,-0.8381246,-2.7169778","-2.26178,-1.1310358,-2.712","-2.302228,0.05633092,-2.5996025","-2.2545567,0.049785435,-2.584387","-2.316735,0.08670807,-2.6945243","-2.1816661,0.06816265,-2.6514144"
7,2023-04-04,16:19:45.844222,"-1.7728064,0.20050383,-4.382203","-1.7694952,0.0596506,-4.4682026","-1.9383895,0.060686767,-4.4871545","-2.0088117,-0.10757071,-4.6135654","-2.0765004,-0.26920712,-4.7353277","-1.6006012,0.05861473,-4.449252","-1.5312973,-0.12005502,-4.5611625","-1.4645882,-0.29142046,-4.6694117","-1.8530767,-0.4407007,-4.587329","-1.8614957,-0.8504093,-4.6532516","-1.863156,-1.2004886,-4.76971","-1.6671557,-0.44233572,-4.571047","-1.7441679,-0.83955455,-4.6635895","-1.8027799,-1.1661603,-4.824878","-1.7948767,0.2344312,-4.404825","-1.7424681,0.23040569,-4.4005165","-1.8369514,0.23573112,-4.483588","-1.6884601,0.22432572,-4.4713807"
8,2023-04-04,16:19:45.949869,"-2.3606436,-0.0415681,-2.2412655","-2.2770681,-0.13879186,-2.3632941","-2.4139984,-0.1530374,-2.343757","-2.3476598,-0.34188095,-2.311345","-2.2257793,-0.36328912,-2.1606858","-2.1401381,-0.12454638,-2.3828313","-2.0148933,-0.2456015,-2.4866226","-2.0268445,-0.3549198,-2.3256316","-2.3234677,-0.5747689,-2.4174893","-2.3512855,-0.8934138,-2.4748154","-2.388851,-1.1350092,-2.6286123","-2.1608906,-0.55900407,-2.4443355","-2.2148414,-0.87677956,-2.403072","-2.2718165,-1.1559045,-2.4507809","-2.3804007,0.0029461682,-2.2552536","-2.3331673,0.0010049939,-2.2409532","-2.3998868,0.027658373,-2.3438926","-2.26606,0.022158444,-2.3033745"
7,2023-04-04,16:19:45.950866,"-1.708086,0.12877476,-3.9877555","-1.7238187,-0.003909707,-4.0733213","-1.8733283,-0.0015955567,-4.0790167","-1.9248981,-0.16625094,-4.18381","-1.9743587,-0.32309496,-4.28692","-1.5743089,-0.0062236786,-4.0676265","-1.548064,-0.19456607,-4.1353827","-1.5535709,-0.34502673,-4.0128703","-1.8120532,-0.43463004,-4.169324","-1.8417084,-0.79966974,-4.307767","-1.8671836,-1.1097605,-4.4637165","-1.6417396,-0.438183,-4.1671953","-1.687695,-0.78484917,-4.343293","-1.7277774,-1.0805007,-4.522484","-1.7352258,0.16141409,-4.0019217","-1.6832672,0.16095287,-4.006495","-1.7888638,0.16207486,-4.0660253","-1.6416478,0.16076827,-4.078983"
8,2023-04-04,16:19:46.045549,"-2.3077574,-0.072360545,-2.0295448","-2.2873268,-0.1674993,-2.143739","-2.422832,-0.178431,-2.1138556","-2.323427,-0.3521495,-2.0602334","-2.1752026,-0.37298778,-1.9287381","-2.1518219,-0.15656763,-2.1736221","-2.0596325,-0.31361282,-2.2724788","-2.0429084,-0.40264276,-2.095026","-2.3434741,-0.60743153,-2.1740408","-2.36285,-0.92708766,-2.2202215","-2.4001637,-1.172834,-2.364904","-2.182829,-0.59576887,-2.2117949","-2.2477183,-0.91250956,-2.199431","-2.3204496,-1.181382,-2.2710848","-2.3278005,-0.029757053,-2.0314384","-2.2827992,-0.03271252,-2.0345917","-2.3724802,-0.004385978,-2.098723","-2.244977,-0.012759715,-2.1076577"
7,2023-04-04,16:19:46.047543,"-1.7207927,0.10231882,-3.7308555","-1.7179636,-0.020744622,-3.823336","-1.8569381,-0.020918846,-3.8226457","-1.897042,-0.19547927,-3.904886","-1.9356025,-0.3623206,-3.986064","-1.5789894,-0.020570517,-3.8240263","-1.5572913,-0.21075284,-3.8709626","-1.56833,-0.30172366,-3.7050855","-1.7983326,-0.42786223,-3.917484","-1.8433938,-0.7878473,-4.0526447","-1.8841432,-1.0959768,-4.2003794","-1.6375343,-0.42895263,-3.9226487","-1.6589905,-0.7466817,-4.1428213","-1.6782275,-1.0109372,-4.3624325","-1.748884,0.13357425,-3.7439253","-1.6979872,0.1373952,-3.7445078","-1.7966347,0.13454306,-3.8097794","-1.6524274,0.14536923,-3.8114297"
8,2023-04-04,16:19:46.156179,"-2.2813542,-0.14458752,-1.6468284","-2.33178,-0.24025065,-1.7330781","-2.4758773,-0.25320974,-1.697826","-2.349022,-0.4239907,-1.6291753","-2.180214,-0.4355237,-1.4966147","-2.1876829,-0.22729144,-1.7683302","-2.1162736,-0.4192587,-1.8578887","-2.0607505,-0.47590867,-1.6581154","-2.3807626,-0.68681043,-1.7480217","-2.3861778,-1.009814,-1.7847903","-2.4131522,-1.2622697,-1.9228649","-2.220576,-0.6732703,-1.7871418","-2.2844224,-0.99206305,-1.7898912","-2.3573742,-1.2585773,-1.8745916","-2.293196,-0.10431048,-1.6370951","-2.2639682,-0.107152015,-1.6592193","-2.3561838,-0.081373245,-1.6672428","-2.273373,-0.089424014,-1.7299284"
7,2023-04-04,16:19:46.158172,"-1.778115,0.01215291,-3.2912397","-1.7201647,-0.10307419,-3.382957","-1.8540454,-0.10034585,-3.4013016","-1.8866438,-0.29399693,-3.41613","-1.9178116,-0.48013115,-3.4316177","-1.586284,-0.105802536,-3.3646126","-1.5799552,-0.30087703,-3.3908641","-1.6232307,-0.36461037,-3.217883","-1.8004371,-0.5169609,-3.439914","-1.8477468,-0.8846333,-3.5294328","-1.8865111,-1.2039104,-3.6365354","-1.6435635,-0.5216306,-3.423015","-1.7467383,-0.8494447,-3.5883257","-1.8331538,-1.1239494,-3.7674654","-1.7977061,0.048597693,-3.3121536","-1.750798,0.04959631,-3.2923317","-1.8135504,0.056018174,-3.395004","-1.6806446,0.058847666,-3.3388417"
8,2023-04-04,16:19:46.242889,"-2.2698607,-0.16424477,-1.5483458","-2.3355062,-0.25908607,-1.6243585","-2.4853845,-0.27240235,-1.5927819","-2.362113,-0.44988427,-1.5181788","-2.1975703,-0.46054542,-1.3728163","-2.1856284,-0.24576962,-1.6559354","-2.1202025,-0.4473454,-1.741655","-2.056932,-0.4921119,-1.5359582","-2.3836985,-0.70754474,-1.6394134","-2.3889327,-1.0324119,-1.6721126","-2.4114175,-1.2878848,-1.8080652","-2.2220914,-0.69364905,-1.6721101","-2.2840931,-1.0142429,-1.6753778","-2.352195,-1.2829247,-1.7615596","-2.2785223,-0.12463546,-1.5369035","-2.254589,-0.12736627,-1.5618218","-2.3426356,-0.10227853,-1.5567443","-2.274825,-0.11001578,-1.6273464"
7,2023-04-04,16:19:46.244883,"-1.7937759,-0.037270963,-3.0631216","-1.7311374,-0.14523208,-3.1620917","-1.8655847,-0.14626849,-3.1744885","-1.8675134,-0.3341064,-3.1159778","-1.8650879,-0.47291017,-2.9874573","-1.5966897,-0.1441958,-3.149695","-1.5520003,-0.32653433,-3.2085662","-1.5371757,-0.47432864,-3.091404","-1.8013587,-0.5575206,-3.215487","-1.8893701,-0.8545033,-3.388293","-1.9657115,-1.1036239,-3.565814","-1.6455972,-0.5585309,-3.2058191","-1.7769098,-0.86042327,-3.337821","-1.8896952,-1.1126611,-3.489671","-1.8155272,-0.0006495714,-3.0821795","-1.7678535,0.001526475,-3.063626","-1.8343674,0.008356512,-3.164357","-1.6992918,0.014521897,-3.1117876"
7,2023-04-04,16:19:46.343552,"-1.7379445,-0.063786656,-2.556922","-1.737713,-0.19278759,-2.6568348","-1.8695464,-0.19796571,-2.6437929","-1.8986677,-0.38080233,-2.577213","-1.8845714,-0.48440126,-2.419548","-1.6058795,-0.18760958,-2.6698766","-1.5501105,-0.35371783,-2.7593644","-1.48393,-0.52177596,-2.703095","-1.8039825,-0.60978293,-2.7015777","-1.9465151,-0.86736286,-2.8958495","-2.076198,-1.0768301,-3.0897589","-1.6496961,-0.60345304,-2.7208679","-1.8026782,-0.9068031,-2.8156292","-1.9419316,-1.1605865,-2.9360352","-1.7664936,-0.03003645,-2.5686088","-1.7173793,-0.026407838,-2.5733721","-1.8184276,-0.030982435,-2.6337073","-1.6792709,-0.020701408,-2.6472032"
7,2023-04-04,16:19:46.426276,"-1.7006176,-0.07711282,-2.3144343","-1.7167442,-0.2201918,-2.409787","-1.8442161,-0.22710907,-2.365364","-1.8986479,-0.41811755,-2.3434894","-1.787809,-0.52087903,-2.2248797","-1.589272,-0.2132746,-2.4542098","-1.5015731,-0.3417667,-2.579606","-1.3870384,-0.4951842,-2.5635333","-1.791258,-0.6366904,-2.4515128","-1.9786875,-0.8841822,-2.6188214","-2.1532555,-1.0834696,-2.7863965","-1.645813,-0.6272423,-2.5065799","-1.8100693,-0.93189615,-2.5742552","-1.967893,-1.1860532,-2.6678863","-1.7314442,-0.04470268,-2.3231554","-1.6843358,-0.04164782,-2.3379693","-1.7953181,-0.051202625,-2.3761377","-1.6618443,-0.042546988,-2.4181104"
7,2023-04-04,16:19:46.508999,"-1.6757088,-0.1198588,-2.080544","-1.6844231,-0.27110568,-2.1777744","-1.8091836,-0.27778357,-2.1134064","-1.8907697,-0.4640673,-2.1527832","-1.786915,-0.6220984,-2.0902402","-1.5596625,-0.2644278,-2.2421422","-1.4726739,-0.40242893,-2.3698025","-1.3397672,-0.5497094,-2.352036","-1.7640151,-0.68804026,-2.2049782","-1.9725255,-0.9364064,-2.3434672","-2.1682806,-1.1365973,-2.4843528","-1.6271228,-0.67937183,-2.2793882","-1.7961214,-0.98573625,-2.3232265","-1.962483,-1.2418721,-2.393678","-1.7079656,-0.08916819,-2.090746","-1.6607647,-0.085832566,-2.1071033","-1.7734241,-0.101015985,-2.141579","-1.6396885,-0.09156492,-2.1879249"
7,2023-04-04,16:19:46.613649,"-1.6474477,-0.20704728,-1.6161346","-1.6486741,-0.36238322,-1.7171645","-1.7660228,-0.36909527,-1.630615","-1.8585395,-0.54900825,-1.7110112","-1.9163116,-0.7437758,-1.7614505","-1.5313255,-0.35567117,-1.8037142","-1.4468508,-0.5102663,-1.9316044","-1.2917979,-0.6495076,-1.9119432","-1.7260041,-0.78004354,-1.723309","-1.9471917,-1.038518,-1.8265216","-2.1567836,-1.2484286,-1.9354675","-1.6004343,-0.7733716,-1.8147256","-1.7708261,-1.0849881,-1.8304619","-1.9425253,-1.3466734,-1.8740578","-1.6814989,-0.17866856,-1.6273887","-1.6337534,-0.17486915,-1.6456053","-1.748866,-0.19565308,-1.6753627","-1.613587,-0.18488824,-1.7269762"
7,2023-04-04,16:19:46.694379,"-1.6321068,-0.23042744,-1.4851034","-1.6294531,-0.38508803,-1.5873468","-1.745552,-0.39110324,-1.4964738","-1.8306183,-0.57519054,-1.5841045","-1.9202479,-0.7434702,-1.6777536","-1.5133544,-0.37907284,-1.6782196","-1.430458,-0.5449603,-1.7982742","-1.2711455,-0.6826153,-1.7701277","-1.704573,-0.8027353,-1.584995","-1.9227574,-1.0692549,-1.6795275","-2.1301098,-1.2870431,-1.7813706","-1.5801809,-0.79805666,-1.6777023","-1.7505041,-1.1118662,-1.687025","-1.9225132,-1.3759937,-1.7250807","-1.666301,-0.20257506,-1.4972454","-1.6179193,-0.19876936,-1.514918","-1.7332284,-0.22043172,-1.5459503","-1.5961473,-0.20964888,-1.5960221"
9,2023-04-04,16:19:57.960946,"-1.0996178,1.153143,-9.3443165","-1.13651,0.97638685,-9.403415","-1.2333558,0.9437979,-9.255884","-1.2441434,0.7124437,-9.31131","-1.2364067,0.4874704,-9.353283","-1.0396643,1.008976,-9.550943","-0.9879353,0.7791536,-9.585856","-0.94117886,0.5578363,-9.621452","-1.2065276,0.48894465,-9.449578","-1.2189918,0.12638223,-9.669953","-1.2458589,-0.18952143,-9.874508","-1.1120435,0.52160716,-9.595288","-1.1370039,0.14926112,-9.797546","-1.1568438,-0.1825813,-9.976","-1.1230854,1.18422,-9.324589","-1.09827,1.191424,-9.365255","-1.1836877,1.1638474,-9.312848","-1.1133777,1.1842599,-9.428071"
9,2023-04-04,16:19:58.556953,"-1.0984236,1.1447184,-9.302218","-1.135602,0.9763838,-9.404434","-1.265928,0.9677405,-9.350191","-1.2743902,0.77801853,-9.401463","-1.2778722,0.59287643,-9.44001","-1.0052762,0.98502696,-9.458676","-0.96988076,0.7951313,-9.495848","-0.9367784,0.61280847,-9.533771","-1.2433825,0.5055258,-9.509061","-1.2333767,0.12600207,-9.699066","-1.2451754,-0.18660712,-9.910131","-1.0822835,0.5169871,-9.57889","-1.12406,0.15058005,-9.789225","-1.159615,-0.17716777,-9.972881","-1.1265447,1.1823049,-9.311322","-1.0898175,1.18464,-9.32709","-1.1918098,1.178585,-9.370698","-1.0877492,1.1852016,-9.415376"
10,2023-04-04,16:19:58.624726,"-1.412459,0.84900934,-7.4598775","-1.4452038,0.71375984,-7.544309","-1.6000408,0.7163537,-7.566193","-1.6579409,0.5248386,-7.6255884","-1.7132287,0.34139657,-7.68529","-1.2903668,0.7111661,-7.522424","-1.2669588,0.50555336,-7.5495105","-1.2441584,0.3081627,-7.577599","-1.5261899,0.2821207,-7.5931673","-1.5478284,-0.10651755,-7.6361184","-1.5446976,-0.40465856,-7.8157554","-1.3682493,0.27979064,-7.5695195","-1.3708456,-0.10939455,-7.6128864","-1.3690536,-0.4512689,-7.678354","-1.4373807,0.8814267,-7.483457","-1.4004418,0.88568795,-7.487048","-1.4800862,0.8781336,-7.570414","-1.375426,0.89020723,-7.58059"
10,2023-04-04,16:19:58.785190,"-1.3196471,0.8232118,-7.238919","-1.4653945,0.6574996,-7.2739406","-1.5051411,0.6382855,-7.11918","-1.5515816,0.43059486,-7.0979233","-1.5974716,0.23114336,-7.077772","-1.4256479,0.67671376,-7.4287014","-1.4469794,0.4721111,-7.4872394","-1.4429318,0.27266824,-7.5372295","-1.4881613,0.21609092,-7.251249","-1.4819295,-0.15943372,-7.298819","-1.5610285,-0.48068845,-7.360297","-1.4497275,0.2351861,-7.405691","-1.4861722,-0.1399262,-7.441508","-1.5275817,-0.47215235,-7.4754457","-1.3587785,0.85715926,-7.2244725","-1.340802,0.8615991,-7.270084","-1.4583998,0.8345721,-7.217234","-1.4074664,0.8471507,-7.3464656"
10,2023-04-04,16:19:59.095153,"-1.3015436,0.7949872,-7.0156283","-1.4776285,0.61333144,-7.0207996","-1.379735,0.5708725,-6.889821","-1.4644147,0.3675241,-6.8887815","-1.54724,0.17259705,-6.886545","-1.575522,0.6557903,-7.151778","-1.6555942,0.4653955,-7.2283325","-1.718556,0.28145158,-7.312368","-1.4711677,0.16841698,-7.0652504","-1.5137002,-0.183689,-7.152722","-1.5517085,-0.49668515,-7.230323","-1.5675024,0.20799696,-7.1896286","-1.6146187,-0.14561617,-7.268221","-1.6513739,-0.4596907,-7.3419724","-1.3410329,0.81593966,-6.9782796","-1.3394051,0.836606,-7.030721","-1.4295412,0.76290447,-6.9463425","-1.4249287,0.82145894,-7.0949283"
10,2023-04-04,16:19:59.171897,"-1.3997953,0.6826039,-6.41564","-1.5396553,0.53888094,-6.570521","-1.530739,0.48835468,-6.409445","-1.6659101,0.33241987,-6.4866066","-1.7983557,0.18431032,-6.5600953","-1.5485722,0.589407,-6.7315974","-1.5849156,0.4138733,-6.8596916","-1.6210606,0.24525702,-6.98274","-1.5802279,0.091953516,-6.622364","-1.6440268,-0.25146472,-6.7402534","-1.6910902,-0.5580162,-6.846049","-1.5901525,0.14001489,-6.778944","-1.624404,-0.20583022,-6.901918","-1.6548439,-0.5132483,-7.0112286","-1.4481864,0.7122611,-6.4047813","-1.4111956,0.7327303,-6.442032","-1.54836,0.6873411,-6.4398203","-1.4435529,0.7453371,-6.5453653"
10,2023-04-04,16:19:59.269570,"-1.6041722,0.65976274,-5.841324","-1.6554408,0.5108773,-5.998908","-1.7465498,0.47374332,-5.8652444","-1.8263212,0.3235247,-6.005201","-1.9052644,0.18119454,-6.140725","-1.5643314,0.54801124,-6.132571","-1.5502614,0.36068666,-6.2475863","-1.5440308,0.1828469,-6.3624372","-1.7210308,0.062064648,-6.065531","-1.7537433,-0.27733433,-6.2180943","-1.8024386,-0.571128,-6.364948","-1.6300787,0.098189235,-6.1990447","-1.6491549,-0.25901854,-6.306638","-1.669173,-0.57578444,-6.404159","-1.6493715,0.6926911,-5.8415213","-1.6033634,0.70819044,-5.869277","-1.7419224,0.68239844,-5.897397","-1.6115658,0.72631335,-5.976038"
10,2023-04-04,16:19:59.349304,"-1.6179229,0.64173865,-5.563796","-1.6597164,0.48992443,-5.688221","-1.7835319,0.46537846,-5.586776","-1.8216436,0.29769427,-5.7195134","-1.8569925,0.1351772,-5.8458796","-1.5359012,0.5144702,-5.789665","-1.5288556,0.3217619,-5.889684","-1.5260943,0.13866311,-5.9901667","-1.7318745,0.041502953,-5.752592","-1.7485346,-0.30393445,-5.898038","-1.7726011,-0.6059011,-6.0375147","-1.6046951,0.06565201,-5.8559256","-1.6317307,-0.3003708,-5.9337416","-1.6543308,-0.62617457,-6.0012546","-1.6593205,0.67789763,-5.5677505","-1.611528,0.6867751,-5.594904","-1.7509463,0.67452055,-5.6254654","-1.6155344,0.69967353,-5.702399"
10,2023-04-04,16:19:59.432027,"-1.6354488,0.61048734,-5.392235","-1.6755955,0.46133178,-5.489804","-1.812295,0.4459598,-5.408781","-1.8482935,0.25209087,-5.4989133","-1.8805789,0.0636791,-5.582083","-1.5388962,0.47670376,-5.570826","-1.5200082,0.2754681,-5.649263","-1.503692,0.08295983,-5.7275767","-1.7470362,0.0097633,-5.5327106","-1.7595056,-0.3405956,-5.6763973","-1.7720902,-0.6509769,-5.8065104","-1.6043499,0.025054038,-5.6156716","-1.6390374,-0.35120583,-5.643564","-1.666946,-0.686244,-5.663436","-1.6741469,0.6476978,-5.399774","-1.625722,0.6513847,-5.4264665","-1.7647481,0.647636,-5.4586883","-1.6275443,0.6580819,-5.534314"
10,2023-04-04,16:19:59.523721,"-1.6889905,0.4906195,-5.0450134","-1.6972967,0.33336967,-5.1377335","-1.8391534,0.32885695,-5.082123","-1.8797566,0.12812585,-5.13371","-1.9168766,-0.06639683,-5.1786637","-1.55544,0.3378824,-5.193343","-1.5321925,0.1360408,-5.2509828","-1.510239,-0.05779767,-5.3073955","-1.7907476,-0.11281961,-5.186556","-1.809111,-0.4585346,-5.340717","-1.8237132,-0.7678368,-5.4733725","-1.6368078,-0.108250976,-5.2450385","-1.6783828,-0.47514743,-5.3303604","-1.713221,-0.80273116,-5.400745","-1.7214903,0.5229033,-5.0676374","-1.6743181,0.5254873,-5.0793543","-1.787326,0.5150636,-5.149073","-1.6536719,0.52238524,-5.1822705"
10,2023-04-04,16:19:59.609434,"-1.7247797,0.46700883,-4.813409","-1.7011505,0.3010401,-4.9108176","-1.8407371,0.30087876,-4.8625474","-1.8889972,0.10052341,-4.898667","-1.9338526,-0.09322375,-4.9290533","-1.5615641,0.30120146,-4.9590874","-1.5397564,0.09943819,-5.009998","-1.518915,-0.09448624,-5.059316","-1.8080516,-0.13967806,-4.969682","-1.8735073,-0.47991025,-5.1228538","-1.9297129,-0.78529626,-5.253108","-1.6519371,-0.14039081,-5.0217223","-1.6736208,-0.4936822,-5.156701","-1.6946636,-0.80550593,-5.282037","-1.7529896,0.49506608,-4.844252","-1.7062936,0.5002267,-4.8464108","-1.798945,0.47927135,-4.9368663","-1.6666396,0.49389333,-4.9429836"
10,2023-04-04,16:19:59.689167,"-1.742273,0.43642423,-4.577208","-1.7112674,0.2883817,-4.6807537","-1.8426712,0.29114842,-4.643518","-1.8987527,0.09812486,-4.6799707","-1.9515034,-0.088534296,-4.710944","-1.5798634,0.2856148,-4.7179885","-1.5570551,0.088697374,-4.767338","-1.5351436,-0.10063124,-4.814859","-1.8281994,-0.14440477,-4.761626","-1.9357561,-0.4625355,-4.937085","-2.030246,-0.7480377,-5.0887156","-1.6704919,-0.14889294,-4.803991","-1.6693972,-0.4857074,-4.9775314","-1.671599,-0.77826405,-5.1443768","-1.7650839,0.46643478,-4.608577","-1.7208359,0.47014013,-4.6056447","-1.7991271,0.4602988,-4.706161","-1.6737577,0.47079766,-4.697854"
10,2023-04-04,16:19:59.770894,"-1.7742152,0.41577184,-4.3604894","-1.7382412,0.2737465,-4.463979","-1.8678544,0.27674198,-4.4292073","-1.9245934,0.08599627,-4.4669266","-1.979259,-0.09729904,-4.5036063","-1.6086283,0.27075106,-4.4987497","-1.5825119,0.0734306,-4.536281","-1.5574138,-0.116292715,-4.5724196","-1.8541554,-0.15848517,-4.5444164","-1.9672977,-0.4987378,-4.6670384","-2.0665674,-0.8034563,-4.7707744","-1.6964102,-0.16350037,-4.584785","-1.7045891,-0.4965157,-4.7654586","-1.715445,-0.7836116,-4.94132","-1.7960075,0.44537058,-4.3921165","-1.7531279,0.4496196,-4.388074","-1.8262837,0.4404613,-4.4905443","-1.7047914,0.45250028,-4.479091"
10,2023-04-04,16:19:59.867571,"-1.8426352,0.3250402,-3.977909","-1.803913,0.20125914,-4.089409","-1.935424,0.19980752,-4.0646763","-2.0195003,0.017359197,-4.1039925","-2.100906,-0.1571557,-4.144717","-1.6724018,0.20271075,-4.114141","-1.6285505,0.007924736,-4.1592793","-1.5864062,-0.17935002,-4.2027845","-1.9033167,-0.23022282,-4.201263","-2.0227797,-0.5670647,-4.3271117","-2.1284761,-0.86770123,-4.436132","-1.7422148,-0.23031914,-4.228709","-1.8034996,-0.5863835,-4.3428764","-1.8685608,-0.82670105,-4.5697107","-1.8664087,0.3571146,-4.00399","-1.8239084,0.3635278,-3.9989374","-1.8962194,0.3614523,-4.098532","-1.775803,0.37962326,-4.0842166"
10,2023-04-04,16:19:59.949298,"-1.8826281,0.28323817,-3.8610232","-1.8498384,0.16579336,-3.9671457","-1.9835032,0.1618008,-3.9497635","-2.05691,-0.025057614,-3.98616","-2.127821,-0.20413053,-4.023484","-1.7161735,0.1697861,-3.9845283","-1.6550947,-0.024508715,-3.9967031","-1.6168938,-0.16504627,-3.8652554","-1.9320322,-0.2731551,-4.065922","-1.9804631,-0.6272316,-4.1603613","-2.0266957,-0.91504157,-4.311972","-1.7693743,-0.26999217,-4.0825934","-1.81974,-0.6324368,-4.134857","-1.8629812,-0.88661987,-4.3385215","-1.9075909,0.31543204,-3.8845696","-1.8653215,0.32244352,-3.8804514","-1.9397743,0.32064828,-3.9755323","-1.8200111,0.3405142,-3.9638634"
10,2023-04-04,16:20:00.033018,"-1.891388,0.27629343,-3.674629","-1.868713,0.1484353,-3.7828622","-2.0068452,0.14091623,-3.766676","-2.0937843,-0.035173953,-3.824801","-2.1778436,-0.20316744,-3.8838985","-1.7305809,0.15595424,-3.799048","-1.6569762,-0.03442657,-3.8158476","-1.6665665,-0.101457834,-3.6309285","-1.938664,-0.2968412,-3.878373","-1.9325417,-0.6616203,-3.9108877","-1.9297806,-0.95966715,-4.0418925","-1.7747692,-0.28960395,-3.8929262","-1.8398339,-0.6500184,-3.8980715","-1.889743,-0.92176235,-4.0703096","-1.9187877,0.31006098,-3.694556","-1.8749194,0.3166267,-3.6943796","-1.9599919,0.31296304,-3.780167","-1.8356982,0.33156595,-3.7796671"
